idurl,url,dia,mes,ano
1596,www.infomoney.com.br/mercados/bndes-quer-vender-acoes-da-petrobras-e-vale-neste-mes-afirmam-fontes-a-bloomberg/,4,ago,2020
1606,www.infomoney.com.br/mercados/acoes-pn-da-oi-tem-forte-queda-antes-de-decisao-sobre-operacao-movel-cogna-tem-nova-baixa-e-vale-sobe-3-com-minerio/,3,ago,2020
1607,www.infomoney.com.br/mercados/ibovespa-fecha-em-leve-baixa-na-contramao-de-wall-street-dolar-sobe-a-r-531-com-correcao-e-aumento-de-incertezas/,3,ago,2020
1620,www.infomoney.com.br/minhas-financas/petrobras-reduz-preco-de-gas-para-distribuidoras-em-48-em-dolar-e-35-em-reais/,3,ago,2020
1621,www.infomoney.com.br/minhas-financas/padrao-de-vida-do-brasileiro-deve-ter-queda-recorde/,3,ago,2020
1625,www.infomoney.com.br/mercados/acoes-de-eztec-e-petrorio-entram-na-primeira-previa-da-nova-carteira-do-ibovespa/,3,ago,2020
1626,www.infomoney.com.br/onde-investir/previ-mira-ipos-e-aposta-em-negocios-sustentaveis/,3,ago,2020
1636,www.infomoney.com.br/mercados/ibovespa-sobe-com-mais-uma-vacina-na-fase-3-e-em-meio-a-dados-economicos-dolar-dispara-a-r-527/,3,ago,2020
1645,www.infomoney.com.br/mercados/dia-d-para-oi-irb-paga-proventos-bb-seguridade-lucra-9818-mi-resultado-nao-auditado-da-cvc-e-mais-noticias/,3,ago,2020
1649,www.infomoney.com.br/economia/gasolina-tera-alta-de-qualidade-obrigatoria-a-partir-desta-segunda-confira-o-que-muda/,3,ago,2020
1675,www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-mas-nao-apaga-mes-de-forte-alta-puxada-por-indicadores-e-esperanca-de-vacina/,31,jul,2020
1677,www.infomoney.com.br/mercados/acoes-de-petrobras-e-engie-sobem-com-balancos-enquanto-fleury-cai-ecorodovias-salta-apos-acordo-com-acionistas/,31,jul,2020
1689,www.infomoney.com.br/mercados/tempestade-perfeita-petrobras-passa-bem-por-crise-sem-precedentes-do-2o-tri-e-reforca-otimismo-com-acoes/,31,jul,2020
